time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-18 00:00:00+00:00,,,5,5
2022-11-21 00:00:00+00:00,,,34,7
2022-11-22 00:00:00+00:00,1.0,1.0,41,7
2022-11-23 00:00:00+00:00,,,7,5
2022-11-24 00:00:00+00:00,2.0,2.0,48,9
2022-11-25 00:00:00+00:00,,,11,5
2022-11-26 00:00:00+00:00,,,1,1
2022-11-27 00:00:00+00:00,,,1,1
2022-11-28 00:00:00+00:00,,,6,5
2022-11-29 00:00:00+00:00,1.0,1.0,6,4
2022-11-30 00:00:00+00:00,,,6,3
2022-12-01 00:00:00+00:00,1.0,1.0,4,4
